micropack_id;productos;lagallega;lareinaonline;carrefour;unicosupermercados;arcoirisencasa;hiperlibertad;cotodigital3;jumbo
77697;MAYONESA HELLMANN S LIGHT DP 237G;149,00;0;0;0;0;SD;0;0
63948;ACEITE FRITOLIM COCINERO CLA AERO X 120G;394,34;0;0;0;SD;0;0;0
2599;ARROZ GALLO ORO ESTUCHE  1K ;0;0;0;0;0;SD;0;0
74437;CAPELETTINI GIACOMO FORT QUESO JAM 500G;0;0;0;0;0;0;0;SD
71037;GALLETITAS AMOR PACK3 X 112G;0;0;0;0;0;0;0;0
72601;GALLETITAS TERRABUSI VARIEDAD CHOC 310G;SD;SD;0;0;SD;0;0;0
75310;CHOCOLINO CACAO FORTIFICADO  180G;0;0;0;0;0;0;0;0
22819;TOMATE ARCOR NATURAL 400G;0;0;0;0;0;0;0;0
9698;BIZCOCHOS 9 DE ORO AZUCARADOS 210GR;0;0;0;0;0;0;0;0
71690;YERBA PLAYADITO SUAVE 1K;0;0;0;0;0;0;0;0
74116;YERBA CACHAMATE AMARILLA 500G;0;0;0;0;SD;0;0;SD
9671;GALLETITAS CHOCOLINAS X170GR;0;0;0;0;SD;0;0;0
12463;FIDEOS MATARAZZO TIRABUZON 500G;0;SD;0;0;0;SD;0;0
73597;GALLETITAS EXPRESS CLASICAS 303G;0;0;SD;SD;0;SD;0;0
74514;TE LA VIRGINIA CLASICO 50u;0;0;0;SD;SD;0;0;0
75526;CAFE INST DOLCA AROMA TRADICIONAL 170G;0;0;0;0;0;0;0;0
17060;SAL CELUSAL FINA ESTUCHE P/VERT 500G;SD;0;0;0;0;0;0;0
6275;GASEOSA COCA COLA LIGHT. 1.5L;0;0;0;0;0;0;0;SD
25401;BITTER CAMPARI 750CC;0;0;0;0;0;0;0;0
66469;VERMOUTH CARPANO ROSSO 950C;0;0;0;0;0;0;0;0
57435;AGUA H2O SABORIZADA LIMONETO 1.5LT;0;0;0;0;SD;0;0;0
1860;POWERADE NARANJA 500C;0;0;0;0;0;0;0;0
68297;VINO FRAN MALBEC 750CC;0;0;0;SD;0;SD;0;0
26804;MARTINI ROSSO 950CC;0;0;SD;SD;0;0;0;0
27452;VINO COLON CABERNET SAUVIGNON 750CC;0;0;0;0;0;SD;0;0
71493;FERNET BRANCA TRADICIONAL 750CC;0;0;0;0;0;0;0;0
75827;CERVEZA IMPERIAL.GOLDEN SIX PACK(N) 473C;0;0;SD;SD;SD;SD;SD;0
6426;JUGO MINERVA LIMON 500CC;SD;0;0;0;SD;0;0;0
73510;JUGO TANG VITAC NARANJA 18G;0;0;0;0;0;0;0;0
28184;VINO LATITUD 33 CABERNET SUAVIGNON 750;0;0;0;0;0;0;0;0
29546;WHISKY J.WALKER BLACK LABEL 750CC;0;0;0;SD;0;SD;0;0
67684;VODKA SMIRNOFF WATERMELON 700CC;0;0;0;SD;0;0;0;0
76616;CERVEZA STELLA ARTOIS LATA SIX PACK 473C;SD;0;0;0;0;0;0;0
76959;VINO SANTA JULIA CABERNET;0;0;0;0;0;SD;0;0
38608;COSTILLA Kg;SD;0;0;0;0;0;SD;0
38619;NALGA Kg;SD;0;0;0;0;SD;0;0
38609;VACIO Kg;SD;0;0;0;0;0;0;0
76661;JABON LIQ ALA ECOLAVADO DP 800CC;0;SD;0;0;0;0;0;0
72930;AGUA LAVAND AYUDIN CLASICA 1L;0;0;0;0;0;0;0;0
75800;DEO AMB LYSOFORM AERO AIRE MONTAÑA 360C;0;0;0;0;0;SD;0;0
76510;DEO AMB GLADE AERO VAINILLA 360C;0;0;0;0;0;SD;0;0
1811;APRESTO KLARO AEROSOL 360CC;0;0;0;0;0;SD;0;0
71868;TABLETAS RAID RAPIDA ACCION 12U;SD;0;SD;0;SD;0;0;SD
76674;JABON POL ALA MATIC C/BICARBONATO 800G;0;SD;SD;0;0;SD;0;SD
32557;PAN BIMBO HAMBURGUESAS ARTE 240G;0;0;0;0;0;0;0;0
73220;PAN BIMBO BLANCO ARTESANO 500G;0;0;0;0;0;0;0;0
69020;RAPIDITAS BIMBO CLASICAS 275G 10U;0;0;0;0;0;0;0;0
6516;DENTIFRICO COLGATE SENSITIVE BLANQ 100g;SD;0;0;0;0;0;0;0
74528;JABON REXONA ACTIVE PACK3 125G;0;0;0;0;0;SD;0;0
76571;SHAMPOO SEDAL LISO PERF HIDRATANTE 190CC;SD;SD;SD;0;SD;SD;SD;SD
76412;SHAMPOO PANTENE BRILLO EXTREM 400CC;SD;SD;SD;0;0;SD;0;SD
75727;ANTITRANSPIRANTE DOVE AERO  ORIGINAL 145G;0;0;0;0;0;0;0;0
72946;LECHE LS UAT ENT 3% CLAS FORT C/VIT BRIK 1L;0;0;SD;0;0;SD;0;SD
70577;MANTECA LS CLASICA VIT A-E-D 200;0;0;0;0;0;0;0;0
71999;RAVIOLES LA SALTEÑA JAMON Y QUESO 450G;0;0;0;0;0;0;0;0
74673;MARGARINA DANICA CLASICA PAN 200G;0;0;0;0;0;0;0;0
28553;QUESO LA PAULINA CREMOSO KILO;SD;0;0;SD;SD;SD;0;0
